Disease_Name,Crop,Disease_Type,Severity,Leaf_Color,Spot_Size,Spot_Pattern,Temperature,Humidity,Rainfall_mm,Affected_Area_Perc,Yield_Loss_Perc,Season,State,District,Disease_ID
Common_Rust,Corn,Fungal,Severe,Green,Large,Stripes,19.55,55.81,89.29,25.59,20.18,Monsoon,West Bengal,Siliguri,35
Black_Rot,Grape,Fungal,Medium,Dark_Brown,Small,Circular,30.92,78.56,100.21,60.67,23.42,Winter,Karnataka,Mysuru,36
Brown_Spot,Rice,Fungal,High,Dark_Brown,Medium,Irregular,17.26,97.81,109.13,18.18,14.75,Winter,Tamil Nadu,Coimbatore,37
Neck_Blast,Rice,Fungal,High,Brown,Medium,Irregular,20.95,60.14,48,9.58,4.1,Summer,Uttar Pradesh,Lucknow,38
Bacterial_Spot,Tomato,Bacterial,Medium,Yellow,Small,Circular,16.72,93.58,226.19,21.91,11.62,Summer,Punjab,Amritsar,39
Brown_Rust,Wheat,Fungal,Medium,Brown,Large,Concentric,21.28,88.16,17.39,37.21,29.49,Winter,Karnataka,Bengaluru,40
Neck_Blast,Rice,Fungal,Medium,Yellow,Large,Circular,18.69,95.22,197.99,24.78,16.46,Monsoon,Uttar Pradesh,Varanasi,41
Apple_Scab,Apple,Fungal,Severe,Dark_Brown,Small,Circular,21.3,82.68,255.5,74.96,63.29,Monsoon,West Bengal,Kolkata,42
Esca_Black_Measles,Grape,Fungal,High,Brown,Small,Diamond,21.53,70.13,179.01,5.14,4.21,Monsoon,Karnataka,Mysuru,43
Northern_Leaf_Blight,Corn,Fungal,Severe,Brown,Small,Stripes,15.52,84.33,87.44,53.51,32.11,Monsoon,Tamil Nadu,Coimbatore,44
Black_Rot,Grape,Fungal,High,Green,Large,Irregular,29.12,92.18,121.84,74.91,38.54,Winter,Karnataka,Mysuru,45
Leaf_Blast,Rice,Fungal,Severe,Gray,Large,Concentric,26.15,77.47,258.37,21.61,16.72,Winter,Uttar Pradesh,Varanasi,46
Brown_Spot,Rice,Fungal,Severe,Green,Medium,Circular,29.01,89.85,70.2,5.34,4.54,Summer,Maharashtra,Pune,47
Common_Rust,Corn,Fungal,High,Brown,Large,Irregular,31.83,86.91,34.05,20.16,13.12,Monsoon,Karnataka,Hubballi,48
Brown_Spot,Rice,Fungal,High,Green,Large,Irregular,21.01,63.53,95.55,10.54,8.31,Winter,West Bengal,Bardhaman,49
Yellow_Rust,Wheat,Fungal,Medium,Dark_Brown,Large,Concentric,28.2,87.13,33.45,83.8,41.69,Monsoon,West Bengal,Bardhaman,50
Mosaic_Virus,Tomato,Viral,Severe,Brown,Medium,Diamond,27.65,93.35,54.28,40.3,28.17,Monsoon,Tamil Nadu,Salem,51
Neck_Blast,Rice,Fungal,High,Brown,Small,Stripes,15.46,64.84,233.3,43.94,36.38,Summer,Tamil Nadu,Coimbatore,52
Black_Rot,Grape,Fungal,Severe,Green,Large,Circular,19.38,95.2,261.14,36.54,19.02,Summer,West Bengal,Bardhaman,53
Black_Rot,Grape,Fungal,Medium,Green,Medium,Diamond,34,92.35,26.5,43.52,39.06,Winter,Karnataka,Bengaluru,54
Bacterial_Spot,Tomato,Bacterial,Severe,Green,Medium,Concentric,32.71,79.56,240.66,8.5,4.52,Summer,Tamil Nadu,Coimbatore,55
Common_Rust,Corn,Fungal,Severe,Yellow,Small,Concentric,23.21,92.35,40.92,84.64,41.55,Summer,Karnataka,Hubballi,56
Apple_Scab,Apple,Fungal,Severe,Gray,Medium,Diamond,18.81,76.91,203.97,56.27,28.13,Winter,Tamil Nadu,Madurai,57
Early_Blight,Tomato,Fungal,Medium,Brown,Medium,Pustules,34.22,56.39,271.58,32.48,12.56,Summer,Uttar Pradesh,Varanasi,58
Bacterial_Spot,Tomato,Bacterial,Severe,Yellow,Small,Irregular,23.81,62.11,248.73,39.43,30.52,Monsoon,West Bengal,Siliguri,59
Brown_Spot,Rice,Fungal,Severe,Dark_Brown,Medium,Diamond,37.86,89.92,252.3,61.45,20.02,Winter,Punjab,Patiala,60
Brown_Rust,Wheat,Fungal,High,Dark_Brown,Small,Irregular,28.88,68.91,79.02,37.61,25.5,Monsoon,West Bengal,Bardhaman,61
Neck_Blast,Rice,Fungal,High,Gray,Large,Irregular,26.75,67.66,34.68,7.11,5.28,Winter,Tamil Nadu,Coimbatore,62
Brown_Spot,Rice,Fungal,Severe,Yellow,Medium,Concentric,37.14,87.15,56.11,32.06,16.87,Winter,Punjab,Ludhiana,63
Late_Blight,Tomato,Fungal,Severe,Green,Large,Stripes,35.26,59.17,63.64,13.87,7.61,Monsoon,Maharashtra,Nagpur,64
Black_Rot,Grape,Fungal,High,Dark_Brown,Large,Concentric,25.65,94.53,216.96,32.57,28.2,Winter,Karnataka,Mysuru,65
Apple_Scab,Apple,Fungal,Severe,Dark_Brown,Small,Concentric,29.82,60.36,247.56,79.88,68.12,Monsoon,Punjab,Amritsar,66
Yellow_Rust,Wheat,Fungal,High,Yellow,Small,Concentric,35.49,71.37,175.36,12.43,8.97,Winter,Uttar Pradesh,Varanasi,67
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Medium,Circular,28.08,77.66,24.5,49.8,34.76,Monsoon,Maharashtra,Pune,68
Common_Rust,Corn,Fungal,High,Gray,Medium,Irregular,34.18,62.45,81.84,22.45,7.86,Winter,Tamil Nadu,Madurai,69
Yellow_Rust,Wheat,Fungal,Severe,Green,Small,Irregular,15.66,95.68,159.16,45.71,30.38,Winter,Karnataka,Bengaluru,70
Early_Blight,Tomato,Fungal,High,Brown,Medium,Pustules,32.89,78.06,295.61,74.78,28.76,Monsoon,Uttar Pradesh,Kanpur,71
Brown_Spot,Rice,Fungal,Severe,Green,Small,Irregular,34.6,64.51,214.63,6.3,2.79,Summer,Tamil Nadu,Coimbatore,72
Northern_Leaf_Blight,Corn,Fungal,Severe,Brown,Medium,Irregular,22.2,73.62,143.1,77.07,49.54,Winter,Punjab,Ludhiana,73
Neck_Blast,Rice,Fungal,Medium,Dark_Brown,Small,Irregular,15.6,76.44,111.46,76.24,67.53,Winter,Karnataka,Hubballi,74
Black_Rot,Grape,Fungal,Severe,Dark_Brown,Medium,Diamond,36.85,58.37,222.95,44.13,16.46,Monsoon,Uttar Pradesh,Varanasi,75
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Medium,Diamond,28.24,97.95,87.88,49.38,38.59,Winter,Karnataka,Hubballi,76
Apple_Scab,Apple,Fungal,Severe,Green,Medium,Pustules,26.21,61.74,88.17,60.36,18.49,Monsoon,Punjab,Ludhiana,77
Bacterial_Spot,Tomato,Bacterial,High,Brown,Small,Pustules,24.24,88.6,45.21,57.15,45.27,Winter,Karnataka,Hubballi,78
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Medium,Circular,17.54,81.27,162.12,72.09,51.96,Summer,Tamil Nadu,Coimbatore,79
Black_Rot,Apple,Fungal,Severe,Gray,Small,Concentric,20.2,77.21,256.5,66.14,59.46,Monsoon,West Bengal,Siliguri,80
Esca_Black_Measles,Grape,Fungal,Severe,Brown,Small,Circular,16.24,67.84,67.17,6.88,3.68,Summer,Punjab,Ludhiana,81
Brown_Rust,Wheat,Fungal,Medium,Gray,Large,Irregular,15.85,63.58,141.83,23.15,10.51,Monsoon,Tamil Nadu,Salem,82
Apple_Scab,Apple,Fungal,High,Dark_Brown,Medium,Concentric,37.39,76.38,240.97,74.37,55.31,Monsoon,Karnataka,Bengaluru,83
Brown_Rust,Wheat,Fungal,High,Brown,Small,Pustules,18.71,96.03,90.18,16.6,10.04,Monsoon,Karnataka,Mysuru,84
Brown_Rust,Wheat,Fungal,Medium,Green,Small,Circular,33.72,62.75,231.2,63.24,51.98,Monsoon,Maharashtra,Nashik,85
Northern_Leaf_Blight,Corn,Fungal,Medium,Green,Medium,Concentric,30.03,67.21,103.75,80.89,61.3,Winter,Maharashtra,Nagpur,86
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Medium,Circular,31.22,89.67,71.71,12.52,3.89,Monsoon,Punjab,Patiala,87
Bacterial_Spot,Tomato,Bacterial,High,Gray,Small,Circular,37.07,79.54,9.6,46.94,38.21,Monsoon,Tamil Nadu,Coimbatore,88
Mosaic_Virus,Tomato,Viral,Medium,Green,Large,Pustules,35.21,67.74,98.36,56.51,35.58,Summer,Uttar Pradesh,Varanasi,89
Mosaic_Virus,Tomato,Viral,Severe,Gray,Small,Stripes,27.78,64.5,57.09,37.94,21.1,Monsoon,Tamil Nadu,Salem,90
Esca_Black_Measles,Grape,Fungal,Severe,Green,Large,Circular,33.09,84.66,275.01,11.5,8.55,Winter,Karnataka,Hubballi,91
Mosaic_Virus,Tomato,Viral,Medium,Green,Small,Stripes,23.93,63.19,165.17,62.67,23.11,Monsoon,Karnataka,Mysuru,92
Black_Rot,Grape,Fungal,Severe,Brown,Small,Diamond,37.44,62.97,21.31,50.4,27.4,Winter,Uttar Pradesh,Lucknow,93
Brown_Spot,Rice,Fungal,Severe,Green,Medium,Irregular,25.92,92.16,207.9,22.08,8.96,Summer,Uttar Pradesh,Lucknow,94
Leaf_Blast,Rice,Fungal,Severe,Gray,Large,Pustules,34.23,62.48,205.07,76.81,33.79,Winter,Tamil Nadu,Salem,95
Brown_Rust,Wheat,Fungal,High,Dark_Brown,Large,Diamond,21.14,74.32,235.34,21.95,11.73,Monsoon,Uttar Pradesh,Lucknow,96
Mosaic_Virus,Tomato,Viral,High,Yellow,Large,Circular,31.75,66.29,128.36,66.85,24.49,Monsoon,Karnataka,Hubballi,97
Neck_Blast,Rice,Fungal,High,Green,Large,Diamond,20.06,78.3,251.94,54.9,17.97,Summer,Karnataka,Mysuru,98
Late_Blight,Tomato,Fungal,High,Gray,Large,Circular,15.08,61.41,249.68,58.54,41.69,Winter,Uttar Pradesh,Kanpur,99
Early_Blight,Tomato,Fungal,Severe,Dark_Brown,Small,Irregular,29.91,96.85,168.67,72.64,44.7,Summer,Tamil Nadu,Salem,100
Neck_Blast,Rice,Fungal,Severe,Dark_Brown,Small,Stripes,20.96,62.59,79.59,80.01,56.79,Summer,Tamil Nadu,Madurai,101
Northern_Leaf_Blight,Corn,Fungal,High,Brown,Small,Diamond,15.46,71.26,8.42,14.27,10.88,Summer,Punjab,Patiala,102
Esca_Black_Measles,Grape,Fungal,Severe,Yellow,Small,Stripes,25.47,91.92,291.45,62.98,19.05,Summer,Karnataka,Mysuru,103
Black_Rot,Apple,Fungal,High,Dark_Brown,Small,Circular,34.84,60.56,176.72,79.6,59.97,Winter,Punjab,Ludhiana,104
Apple_Scab,Apple,Fungal,Severe,Green,Large,Diamond,19.04,55.59,218.07,42.15,23.51,Winter,Maharashtra,Nagpur,105
Neck_Blast,Rice,Fungal,Medium,Brown,Large,Concentric,37.5,78.07,239.52,24.69,11.05,Winter,Karnataka,Hubballi,106
Esca_Black_Measles,Grape,Fungal,High,Yellow,Large,Irregular,26.41,81.29,24.14,57.1,18.02,Winter,Karnataka,Bengaluru,107
Common_Rust,Corn,Fungal,Severe,Dark_Brown,Medium,Irregular,18.43,56.31,147.04,26.58,18.37,Monsoon,Tamil Nadu,Coimbatore,108
Yellow_Rust,Wheat,Fungal,Severe,Dark_Brown,Medium,Stripes,17.08,78.49,296.42,9.36,4.64,Monsoon,Uttar Pradesh,Lucknow,109
Esca_Black_Measles,Grape,Fungal,Medium,Brown,Small,Stripes,32.21,82.19,66.78,45.95,16.43,Winter,Maharashtra,Nagpur,110
Northern_Leaf_Blight,Corn,Fungal,Severe,Yellow,Small,Pustules,31.99,61.53,54.16,8.56,5.42,Monsoon,West Bengal,Kolkata,111
Brown_Rust,Wheat,Fungal,Severe,Yellow,Large,Stripes,23.71,95.18,195.02,44.49,37.26,Summer,West Bengal,Bardhaman,112
Leaf_Blast,Rice,Fungal,High,Green,Large,Circular,33.51,85.1,151.89,61.15,39.92,Summer,Uttar Pradesh,Lucknow,113
Yellow_Rust,Wheat,Fungal,Medium,Gray,Large,Diamond,16.29,85.08,211.8,74.43,24.9,Monsoon,Punjab,Patiala,114
Common_Rust,Corn,Fungal,High,Dark_Brown,Large,Concentric,22.67,58.38,202.37,25.25,22.57,Monsoon,Karnataka,Hubballi,115
Esca_Black_Measles,Grape,Fungal,Medium,Brown,Large,Diamond,33.58,78.93,61.67,25.92,11.55,Winter,Maharashtra,Nagpur,116
Black_Rot,Grape,Fungal,High,Yellow,Small,Irregular,25.64,55.74,201.06,81.66,35.4,Monsoon,West Bengal,Siliguri,117
Neck_Blast,Rice,Fungal,Medium,Yellow,Medium,Pustules,32.61,92.59,33.36,78.73,32.73,Summer,Tamil Nadu,Coimbatore,118
Neck_Blast,Rice,Fungal,Medium,Dark_Brown,Medium,Irregular,27.76,82.15,65.81,5.75,2.63,Monsoon,Uttar Pradesh,Lucknow,119
Yellow_Rust,Wheat,Fungal,Medium,Gray,Medium,Irregular,23.98,59.93,38.35,12.85,8.26,Monsoon,Maharashtra,Nashik,120
Mosaic_Virus,Tomato,Viral,High,Brown,Medium,Irregular,37.92,80.57,124.6,54.94,17.52,Winter,West Bengal,Siliguri,121
Brown_Rust,Wheat,Fungal,Severe,Green,Small,Diamond,25.82,56.17,192.61,59.51,39.98,Summer,West Bengal,Bardhaman,122
Mosaic_Virus,Tomato,Viral,Severe,Green,Large,Circular,33.17,79.83,200.52,75.91,41.75,Summer,Punjab,Patiala,123
Common_Rust,Corn,Fungal,Severe,Yellow,Small,Pustules,37.53,67.44,155.25,81.35,55.42,Winter,Karnataka,Hubballi,124
Leaf_Blast,Rice,Fungal,High,Yellow,Small,Concentric,30.2,58.06,150.35,5.55,4.94,Winter,West Bengal,Bardhaman,125
Apple_Scab,Apple,Fungal,High,Green,Large,Stripes,25.81,84.31,142.62,43.52,31.57,Summer,Punjab,Amritsar,126
Esca_Black_Measles,Grape,Fungal,Medium,Green,Medium,Circular,19.05,92.92,153.31,59.79,26.34,Winter,Uttar Pradesh,Varanasi,127
Yellow_Rust,Wheat,Fungal,High,Gray,Medium,Diamond,34.89,80.75,96.89,42.06,23.18,Summer,Uttar Pradesh,Varanasi,128
Brown_Rust,Wheat,Fungal,High,Green,Large,Concentric,37.04,58.04,297.86,83.93,40.25,Monsoon,Maharashtra,Nashik,129
Black_Rot,Apple,Fungal,Severe,Dark_Brown,Small,Diamond,32.3,97.29,215.33,43.68,13.97,Monsoon,West Bengal,Kolkata,130
Brown_Rust,Wheat,Fungal,Medium,Brown,Medium,Stripes,21.29,57.61,256.39,18.55,14.14,Monsoon,West Bengal,Bardhaman,131
Brown_Spot,Rice,Fungal,Medium,Brown,Large,Irregular,34.13,88.72,134.69,6.28,2.45,Monsoon,Tamil Nadu,Salem,132
Mosaic_Virus,Tomato,Viral,High,Yellow,Medium,Stripes,26.2,82.38,227.15,73.65,39.17,Summer,Uttar Pradesh,Lucknow,133
Apple_Scab,Apple,Fungal,High,Brown,Large,Circular,16.19,58.41,135.14,63.42,21.28,Monsoon,Karnataka,Hubballi,134
Northern_Leaf_Blight,Corn,Fungal,Severe,Brown,Small,Diamond,29.63,81.72,83.67,32.6,15.49,Monsoon,Karnataka,Mysuru,135
Common_Rust,Corn,Fungal,High,Yellow,Small,Pustules,23.63,76.28,133.09,48.77,36.87,Summer,Maharashtra,Nagpur,136
Common_Rust,Corn,Fungal,High,Green,Medium,Concentric,25.58,97.53,226.82,80.52,63.64,Monsoon,Punjab,Ludhiana,137
Yellow_Rust,Wheat,Fungal,Severe,Brown,Small,Concentric,25.18,81.08,186.63,74.53,58.02,Monsoon,Punjab,Ludhiana,138
Common_Rust,Corn,Fungal,High,Green,Small,Circular,27.97,59.79,26.85,51.2,23,Winter,Karnataka,Mysuru,139
Apple_Scab,Apple,Fungal,Severe,Brown,Small,Circular,31.91,88.42,216.41,59.89,39.08,Monsoon,Punjab,Patiala,140
Early_Blight,Tomato,Fungal,Medium,Dark_Brown,Medium,Diamond,36.27,67.01,10.53,70.35,40.74,Summer,Tamil Nadu,Coimbatore,141
Common_Rust,Corn,Fungal,Medium,Brown,Medium,Diamond,17.77,69.03,4.51,78.72,62.5,Summer,Maharashtra,Pune,142
Late_Blight,Tomato,Fungal,Medium,Dark_Brown,Small,Circular,32.47,67.57,226.99,18.04,15.67,Monsoon,Punjab,Amritsar,143
Mosaic_Virus,Tomato,Viral,Severe,Brown,Medium,Diamond,24.32,72.56,95.79,30.71,19.59,Summer,Maharashtra,Pune,144
Northern_Leaf_Blight,Corn,Fungal,Medium,Dark_Brown,Medium,Stripes,16.34,96.85,186.23,47.68,42.23,Summer,Uttar Pradesh,Varanasi,145
Black_Rot,Grape,Fungal,High,Dark_Brown,Medium,Irregular,30.3,61.46,39.81,21.05,16.77,Winter,Tamil Nadu,Salem,146
Black_Rot,Apple,Fungal,Medium,Yellow,Large,Stripes,30.6,89.02,2.87,34.27,21.36,Summer,Karnataka,Hubballi,147
Black_Rot,Grape,Fungal,High,Green,Medium,Circular,19.88,71.94,96.16,52.23,33.72,Winter,Karnataka,Bengaluru,148
Early_Blight,Tomato,Fungal,High,Brown,Small,Diamond,37.16,77.7,291.76,83.74,49.88,Monsoon,Uttar Pradesh,Kanpur,149
Leaf_Blast,Rice,Fungal,Medium,Dark_Brown,Large,Circular,18.26,58.7,204.33,73.15,54.87,Winter,West Bengal,Kolkata,150
Common_Rust,Corn,Fungal,High,Green,Large,Irregular,28.27,84.29,289.91,57.14,17.16,Winter,Tamil Nadu,Salem,151
Black_Rot,Apple,Fungal,Medium,Yellow,Small,Diamond,16.65,80.26,190.15,5.25,2.82,Summer,Maharashtra,Pune,152
Esca_Black_Measles,Grape,Fungal,High,Dark_Brown,Large,Pustules,30.77,56.13,242.47,34.05,14.64,Monsoon,Uttar Pradesh,Varanasi,153
Black_Rot,Apple,Fungal,Medium,Dark_Brown,Small,Concentric,29.83,81.16,187.97,56.34,28.03,Summer,Karnataka,Bengaluru,154
Esca_Black_Measles,Grape,Fungal,Severe,Gray,Small,Irregular,27.85,68.74,84.97,25.7,11.92,Monsoon,West Bengal,Kolkata,155
Northern_Leaf_Blight,Corn,Fungal,High,Gray,Medium,Irregular,28.3,80.8,153.4,16.79,7.51,Monsoon,Karnataka,Hubballi,156
Common_Rust,Corn,Fungal,Medium,Brown,Small,Pustules,27.5,57.62,214.83,36.13,30.08,Summer,Karnataka,Hubballi,157
Esca_Black_Measles,Grape,Fungal,High,Dark_Brown,Medium,Circular,15.39,87.93,255.19,59.74,52.07,Monsoon,Karnataka,Bengaluru,158
Yellow_Rust,Wheat,Fungal,Severe,Brown,Small,Concentric,35.65,84.06,79.3,24.08,15.85,Monsoon,Maharashtra,Nagpur,159
Black_Rot,Grape,Fungal,Severe,Gray,Small,Concentric,16.7,93.54,272.48,35.49,25.38,Summer,Punjab,Patiala,160
Black_Rot,Grape,Fungal,Severe,Yellow,Small,Circular,30.5,87.47,168.77,69.54,34.8,Winter,Uttar Pradesh,Varanasi,161
Esca_Black_Measles,Grape,Fungal,Medium,Dark_Brown,Medium,Stripes,27.61,93.61,234.31,79.83,61.56,Monsoon,West Bengal,Kolkata,162
Mosaic_Virus,Tomato,Viral,Severe,Dark_Brown,Large,Pustules,33.41,79.31,76.67,25,11.11,Summer,Karnataka,Hubballi,163
Black_Rot,Apple,Fungal,Medium,Gray,Medium,Irregular,16,71.25,241.85,38.06,34.2,Monsoon,Karnataka,Bengaluru,164
Mosaic_Virus,Tomato,Viral,High,Gray,Medium,Stripes,24.39,96.71,109.83,29.57,15.1,Winter,Punjab,Ludhiana,165
Brown_Rust,Wheat,Fungal,High,Yellow,Medium,Stripes,28.2,76.2,53.21,31.74,12.39,Winter,West Bengal,Bardhaman,166
Black_Rot,Apple,Fungal,High,Green,Large,Concentric,29.39,93.04,72.78,41.8,15.64,Monsoon,Karnataka,Bengaluru,167
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Medium,Irregular,24.37,85.76,201.19,10.8,8.16,Summer,West Bengal,Kolkata,168
Northern_Leaf_Blight,Corn,Fungal,Severe,Green,Small,Pustules,27.94,82.44,287.3,64.83,32.97,Summer,Tamil Nadu,Madurai,169
Neck_Blast,Rice,Fungal,Severe,Green,Large,Stripes,27.7,75.42,287.28,40.32,23.65,Winter,Tamil Nadu,Coimbatore,170
Neck_Blast,Rice,Fungal,Severe,Yellow,Medium,Circular,26.8,92.08,213.9,38.08,16.54,Monsoon,Karnataka,Bengaluru,171
Common_Rust,Corn,Fungal,Severe,Gray,Large,Diamond,22.81,76.8,20.63,22.9,14.79,Summer,Punjab,Amritsar,172
Late_Blight,Tomato,Fungal,High,Gray,Medium,Concentric,31.68,81.8,50.68,14.11,9.57,Monsoon,Punjab,Amritsar,173
Bacterial_Spot,Tomato,Bacterial,High,Green,Large,Circular,19.85,81.89,245.71,38.24,28.6,Winter,Maharashtra,Pune,174
Mosaic_Virus,Tomato,Viral,Severe,Green,Small,Diamond,30.79,80.51,87.32,71.69,28.07,Summer,Punjab,Amritsar,175
Black_Rot,Grape,Fungal,High,Brown,Medium,Circular,19.9,66.92,225.55,17.86,12.28,Winter,Maharashtra,Nashik,176
Brown_Spot,Rice,Fungal,High,Dark_Brown,Large,Pustules,36.74,91.24,135.49,65.8,21.56,Winter,Karnataka,Bengaluru,177
Brown_Spot,Rice,Fungal,Severe,Gray,Large,Circular,21.32,77.86,278.97,49.3,30.89,Monsoon,Tamil Nadu,Madurai,178
Common_Rust,Corn,Fungal,Severe,Dark_Brown,Small,Pustules,20.01,82.6,152.45,24.31,20.27,Monsoon,Punjab,Amritsar,179
Yellow_Rust,Wheat,Fungal,Medium,Green,Large,Circular,35.47,65.31,162.87,13.25,7.32,Winter,Maharashtra,Pune,180
Northern_Leaf_Blight,Corn,Fungal,Medium,Gray,Small,Circular,34.15,86.84,176.99,49.36,21.81,Winter,Tamil Nadu,Madurai,181
Apple_Scab,Apple,Fungal,High,Gray,Small,Pustules,31.56,58.63,111.24,75.78,62.94,Winter,West Bengal,Kolkata,182
Brown_Rust,Wheat,Fungal,High,Green,Medium,Concentric,36.07,96.37,71.66,9.09,3.6,Winter,Maharashtra,Nagpur,183
Bacterial_Spot,Tomato,Bacterial,Medium,Dark_Brown,Large,Circular,23.07,62.29,22.16,52.06,30.73,Summer,Punjab,Amritsar,184
Yellow_Rust,Wheat,Fungal,Severe,Dark_Brown,Small,Pustules,33.33,77.51,165.46,27.33,23.06,Summer,Tamil Nadu,Salem,185
Brown_Spot,Rice,Fungal,Severe,Yellow,Medium,Irregular,30.62,61.37,194.91,32.24,18.77,Winter,Karnataka,Mysuru,186
Yellow_Rust,Wheat,Fungal,Severe,Brown,Medium,Stripes,34.13,83.59,66.6,25.15,14.6,Winter,Maharashtra,Pune,187
